COLLECTION,ADDRESS,TOKENID,BUYER
CastleDAO,0x9be0acd94D6772FbEbA3779Efb0Fc9f3BF02A22c,1,0x9be0acd94D6772FbEbA3779Efb0Fc9f3BF02A22c
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,2,0x61751BC401f4EABe10A238661B4A60ba84910059
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,3,0x61751BC401f4EABe10A238661B4A60ba84910059
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,4,0x61751BC401f4EABe10A238661B4A60ba84910059
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,5,0x61751BC401f4EABe10A238661B4A60ba84910059
CastleDAO,0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7,6,0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,7,0x61751BC401f4EABe10A238661B4A60ba84910059
CastleDAO,0xDa0402Ae38ec0A808134CC990B6bD28C1f64aAa8,8,0xDa0402Ae38ec0A808134CC990B6bD28C1f64aAa8
CastleDAO,0x244291D3F74380D7CD10b861622aFF1216Fc2697,9,0x244291D3F74380D7CD10b861622aFF1216Fc2697
CastleDAO,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4,10,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4
CastleDAO,0x20949C3412457996CAEDf909a7b54012A7FF1461,11,0x20949C3412457996CAEDf909a7b54012A7FF1461
CastleDAO,0x428700E86c104f4EE8139A69ecDCA09E843F6297,12,0x428700E86c104f4EE8139A69ecDCA09E843F6297
CastleDAO,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43,13,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43
CastleDAO,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43,14,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43
CastleDAO,0xd3f714357A3A5AB971941ca475a006814EDd0d2B,15,0xd3f714357A3A5AB971941ca475a006814EDd0d2B
CastleDAO,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43,16,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43
CastleDAO,0xD9BD4f9743e2C91AA8269f6FBD606d66150eA329,17,0xD9BD4f9743e2C91AA8269f6FBD606d66150eA329
CastleDAO,0x040351a17385C39d21f1202172A49a71331c1DAb,18,0x040351a17385C39d21f1202172A49a71331c1DAb
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,19,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x91816afc260994D7802542079AC9564c1E7A90a9,20,0x91816afc260994D7802542079AC9564c1E7A90a9
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,21,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x20E4445a5B04A2f759101F5d1159DDB096dFb62C,22,0x20E4445a5B04A2f759101F5d1159DDB096dFb62C
CastleDAO,0x18131889b876Ee2d883417aE3d14AA3DCee2A830,23,0x18131889b876Ee2d883417aE3d14AA3DCee2A830
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,24,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,25,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,26,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x50F620A98f0514F5cA9ff7B44125F632EE7aC84a,27,0x50F620A98f0514F5cA9ff7B44125F632EE7aC84a
CastleDAO,0x86BE7c25942C83584F257629048A89cEf316f0BF,28,0x86BE7c25942C83584F257629048A89cEf316f0BF
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,29,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x91816afc260994D7802542079AC9564c1E7A90a9,30,0x91816afc260994D7802542079AC9564c1E7A90a9
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,31,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,32,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x040351a17385C39d21f1202172A49a71331c1DAb,33,0x040351a17385C39d21f1202172A49a71331c1DAb
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,34,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,35,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x003F35595dce3187B4Fff2B5A2c4303f7158208a,36,0x003F35595dce3187B4Fff2B5A2c4303f7158208a
CastleDAO,0x2afB58A22E7D3c241ab7b9A1f68B9e8E74ec9D68,37,0x2afB58A22E7D3c241ab7b9A1f68B9e8E74ec9D68
CastleDAO,0x0B146A1cA55Dd51fe98a33e5Ef6B00552f648a7F,38,0x0B146A1cA55Dd51fe98a33e5Ef6B00552f648a7F
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,39,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x0B146A1cA55Dd51fe98a33e5Ef6B00552f648a7F,40,0x0B146A1cA55Dd51fe98a33e5Ef6B00552f648a7F
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,41,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x244291D3F74380D7CD10b861622aFF1216Fc2697,42,0x244291D3F74380D7CD10b861622aFF1216Fc2697
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,43,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x4690e2EA12DFD50147FB502EfcefCDd88506F3a0,44,0x4690e2EA12DFD50147FB502EfcefCDd88506F3a0
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,45,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,46,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,47,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,48,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde35e9324E6A81809B07815F29E9913983E02377,49,0xde35e9324E6A81809B07815F29E9913983E02377
CastleDAO,0x184cC5908E1a3D29B4D31df67d99622C4Baa7b71,50,0x184cC5908E1a3D29B4D31df67d99622C4Baa7b71
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,51,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,52,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,53,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,54,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x4f5967C9C84234C7984F0Fb72426e12DAF0a7784,55,0x4f5967C9C84234C7984F0Fb72426e12DAF0a7784
CastleDAO,0x00C67d9D6D3D13b42a87424E145826c467CcCd84,56,0x00C67d9D6D3D13b42a87424E145826c467CcCd84
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,57,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x91816afc260994D7802542079AC9564c1E7A90a9,58,0x91816afc260994D7802542079AC9564c1E7A90a9
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,59,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,60,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,61,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,62,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,63,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,64,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,65,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,66,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xe8C148209ADD124eE57199991E90a3b829A136aA,67,0xe8C148209ADD124eE57199991E90a3b829A136aA
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,68,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x91609451B6a5775608787f3Da9501104935D3b25,69,0x91609451B6a5775608787f3Da9501104935D3b25
CastleDAO,0x68c7dFd627f01D1fEf512c3F1b1CEf46ed78B377,70,0x68c7dFd627f01D1fEf512c3F1b1CEf46ed78B377
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,71,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,72,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,73,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,74,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
